x,pi_x,li_x,error,bound
1.000000000000000000e+03,1.680000000000000000e+02,1.776096579901521864e+02,9.609657990152186358e+00,8.691547015044550406e+00
1.047615752789665066e+03,1.750000000000000000e+02,1.844794601221855714e+02,9.479460122185571436e+00,8.955974179997987505e+00
1.097498765493055544e+03,1.840000000000000000e+02,1.916283945179961279e+02,7.628394517996127888e+00,9.228033240036600304e+00
1.149756995397735636e+03,1.890000000000000000e+02,1.990681334626199828e+02,1.006813346261998277e+01,9.507936952042298273e+00
1.204503540258782323e+03,1.970000000000000000e+02,2.068108458792124509e+02,9.810845879212450882e+00,9.795903859821740056e+00
1.261856883066021055e+03,2.050000000000000000e+02,2.148692187360684045e+02,9.869218736068404496e+00,1.009215844864545808e+01
1.321941148466028608e+03,2.160000000000000000e+02,2.232564793855294170e+02,7.256479385529416959e+00,1.039693130385560771e+01
1.384886371393873105e+03,2.210000000000000000e+02,2.319864188756775434e+02,1.098641887567754338e+01,1.071045927364833261e+01
1.450828778495940242e+03,2.290000000000000000e+02,2.410734162775111145e+02,1.207341627751111446e+01,1.103298563613923555e+01
1.519911082952933157e+03,2.400000000000000000e+02,2.505324640721938465e+02,1.053246407219384650e+01,1.136476027082358442e+01
1.592282793341092201e+03,2.500000000000000000e+02,2.603791946449351258e+02,1.037919464493512578e+01,1.170603983454547681e+01
1.668100537200059080e+03,2.620000000000000000e+02,2.706299079341118841e+02,8.629907934111884060e+00,1.205708794209315649e+01
1.747528400007682876e+03,2.720000000000000000e+02,2.813016002864033567e+02,9.301600286403356677e+00,1.241817535154089747e+01
1.830738280295367758e+03,2.810000000000000000e+02,2.924119945709475132e+02,1.141199457094751324e+01,1.278958015446080410e+01
1.917910261672488787e+03,2.930000000000000000e+02,3.039795716078701844e+02,1.097957160787018438e+01,1.317158797113096469e+01
2.009233002565047855e+03,3.040000000000000000e+02,3.160236029689958741e+02,1.202360296899587411e+01,1.356449215086998095e+01
2.104904144512019684e+03,3.170000000000000000e+02,3.285641852110996979e+02,1.156418521109969788e+01,1.396859397763087607e+01
2.205130739903045651e+03,3.280000000000000000e+02,3.416222756047380358e+02,1.362227560473803578e+01,1.438420288099108113e+01
2.310129700083160515e+03,3.430000000000000000e+02,3.552197294244733143e+02,1.221972942447331434e+01,1.481163665267848373e+01
2.420128264794383540e+03,3.590000000000000000e+02,3.693793388692468511e+02,1.037933886924685112e+01,1.525122166877742558e+01
2.535364493970111653e+03,3.700000000000000000e+02,3.841248736846706606e+02,1.412487368467066062e+01,1.570329311776189130e+01
2.656087782946686730e+03,3.830000000000000000e+02,3.994811235622147478e+02,1.648112356221474784e+01,1.616819523450724105e+01
2.782559402207125913e+03,4.040000000000000000e+02,4.154739423935634477e+02,1.147394239356344769e+01,1.664628154043543873e+01
2.915053062825175857e+03,4.210000000000000000e+02,4.321302944619105233e+02,1.113029446191052330e+01,1.713791508995297974e+01
3.053855508833415570e+03,4.370000000000000000e+02,4.494783026555670062e+02,1.247830265556700624e+01,1.764346872334466454e+01
3.199267137797384294e+03,4.520000000000000000e+02,4.675472987930473323e+02,1.554729879304733231e+01,1.816332532629049012e+01
3.351602650938840725e+03,4.720000000000000000e+02,4.863678761527582424e+02,1.436787615275824237e+01,1.869787809617750796e+01
3.511191734215130964e+03,4.900000000000000000e+02,5.059719443045455591e+02,1.597194430454555913e+01,1.924753081538257860e+01
3.678379771828634148e+03,5.140000000000000000e+02,5.263927863446600668e+02,1.239278634466006679e+01,1.981269813170666794e+01
3.853528593710527275e+03,5.350000000000000000e+02,5.476651186402206122e+02,1.266511864022061218e+01,2.039380584614599456e+01
4.037017258596553802e+03,5.570000000000000000e+02,5.698251531939629331e+02,1.282515319396293307e+01,2.099129120819004513e+01
4.229242874389498866e+03,5.790000000000000000e+02,5.929106627449639291e+02,1.391066274496392907e+01,2.160560321884109314e+01
4.430621457583882147e+03,6.020000000000000000e+02,6.169610487261967364e+02,1.496104872619673642e+01,2.223720294155554456e+01
4.641588833612781855e+03,6.260000000000000000e+02,6.420174122051153063e+02,1.601741220511530628e+01,2.288656382131173217e+01
4.862601580065353119e+03,6.510000000000000000e+02,6.681226279390789387e+02,1.712262793907893865e+01,2.355417201201468913e+01
5.094138014816380746e+03,6.800000000000000000e+02,6.953214216833026740e+02,1.532142168330267396e+01,2.424052671245349444e+01
5.336699231206313016e+03,7.060000000000000000e+02,7.236604508951051002e+02,1.766045089510510024e+01,2.494614051103229713e+01
5.590810182512223037e+03,7.370000000000000000e+02,7.531883889846504871e+02,1.618838898465048715e+01,2.567153973950220447e+01
5.857020818056666940e+03,7.700000000000000000e+02,7.839560132690425007e+02,1.395601326904250072e+01,2.641726483592647412e+01
6.135907273413175972e+03,8.000000000000000000e+02,8.160162967935874576e+02,1.601629679358745761e+01,2.718387071711766367e+01
6.428073117284318869e+03,8.360000000000000000e+02,8.494245041913719660e+02,1.342450419137196604e+01,2.797192716079185004e+01
6.734150657750821665e+03,8.680000000000000000e+02,8.842382917598785070e+02,1.623829175987850704e+01,2.878201919769067985e+01
7.054802310718645458e+03,9.060000000000000000e+02,9.205178119413255899e+02,1.451781194132558994e+01,2.961474751392884031e+01
7.390722033525775259e+03,9.380000000000000000e+02,9.583258224017267821e+02,2.032582240172678212e+01,3.047072886383113044e+01
7.742636826811270112e+03,9.820000000000000000e+02,9.977277999123620020e+02,1.572779991236200203e+01,3.135059649353006961e+01
8.111308307896872066e+03,1.020000000000000000e+03,1.038792059246373583e+03,1.879205924637358294e+01,3.225500057560149259e+01
8.497534359086446784e+03,1.059000000000000000e+03,1.081589877312740100e+03,2.258987731274010002e+01,3.318460865502362367e+01
8.902150854450392217e+03,1.108000000000000000e+03,1.126195622759718617e+03,1.819562275971861709e+01,3.414010610675136803e+01
9.326033468832200015e+03,1.154000000000000000e+03,1.172686891290224366e+03,1.868689129022436646e+01,3.512219660520580078e+01
9.770099572992256071e+03,1.205000000000000000e+03,1.221144646942399277e+03,1.614464694239927667e+01,3.613160260598625939e+01
1.023531021899026928e+04,1.254000000000000000e+03,1.271653369599926464e+03,1.765336959992646371e+01,3.716906584011997694e+01
1.072267222010323167e+04,1.306000000000000000e+03,1.324301209008394380e+03,1.830120900839438036e+01,3.823534782117304331e+01
1.123324032978026480e+04,1.357000000000000000e+03,1.379180145586428807e+03,2.218014558642880729e+01,3.933123036555399210e+01
1.176811952434999148e+04,1.409000000000000000e+03,1.436386158333049707e+03,2.738615833304970693e+01,4.045751612635014993e+01
1.232846739442065882e+04,1.472000000000000000e+03,1.496019400146269390e+03,2.401940014626939046e+01,4.161502914104539030e+01
1.291549665014882703e+04,1.537000000000000000e+03,1.558184380881950801e+03,2.118438088195080127e+01,4.280461539347755462e+01
1.353047774579807628e+04,1.602000000000000000e+03,1.622990158496637605e+03,2.099015849663760491e+01,4.402714339040169733e+01
1.417474162926804820e+04,1.668000000000000000e+03,1.690550538633334327e+03,2.255053863333432673e+01,4.528350475303549416e+01
1.484968262254463480e+04,1.739000000000000000e+03,1.760984283025425839e+03,2.198428302542583879e+01,4.657461482397346941e+01
1.555676143930472244e+04,1.814000000000000000e+03,1.834415327110393946e+03,2.041532711039394599e+01,4.790141328986459257e+01
1.629750834620643400e+04,1.891000000000000000e+03,1.910973007262752390e+03,1.997300726275238958e+01,4.926486482025971014e+01
1.707352647470692318e+04,1.968000000000000000e+03,1.990792298073692336e+03,2.279229807369233640e+01,5.066595972304531870e+01
1.788649529057435211e+04,2.049000000000000000e+03,2.074014060124174193e+03,2.501406012417419333e+01,5.210571461688944339e+01
1.873817422860386796e+04,2.138000000000000000e+03,2.160785298718029026e+03,2.278529871802902562e+01,5.358517312113884401e+01
1.963040650040272521e+04,2.225000000000000000e+03,2.251259434062597393e+03,2.625943406259739277e+01,5.510540656361481382e+01
2.056512308348651641e+04,2.321000000000000000e+03,2.345596583406116224e+03,2.459658340611622407e+01,5.666751470676957325e+01
2.154434690031886566e+04,2.417000000000000000e+03,2.443963855663915638e+03,2.696385566391563771e+01,5.827262649267409955e+01
2.257019719633921341e+04,2.522000000000000000e+03,2.546535659089130604e+03,2.453565908913060412e+01,5.992190080732208912e+01
2.364489412645407356e+04,2.631000000000000000e+03,2.653494022568740547e+03,2.249402256874054729e+01,6.161652726474719799e+01
2.477076355991714081e+04,2.740000000000000000e+03,2.765028931151324741e+03,2.502893115132474122e+01,6.335772701146151320e+01
2.595024211399737396e+04,2.855000000000000000e+03,2.881338676440473591e+03,2.633867644047359136e+01,6.514675355173838511e+01
2.718588242732940125e+04,2.977000000000000000e+03,3.002630222515814694e+03,2.563022251581469391e+01,6.698489359427524903e+01
2.848035868435804878e+04,3.098000000000000000e+03,3.129119588073435807e+03,3.111958807343580702e+01,6.887346792078506041e+01
2.983647240283340216e+04,3.231000000000000000e+03,3.261032245508255983e+03,3.003224550825598271e+01,7.081383227707952699e+01
3.125715849688235176e+04,3.369000000000000000e+03,3.398603537693528779e+03,2.960353769352877862e+01,7.280737828722283211e+01
3.274549162877731578e+04,3.511000000000000000e+03,3.542079113246064935e+03,3.107911324606493508e+01,7.485553439134665155e+01
3.430469286314919009e+04,3.666000000000000000e+03,3.691715381101416824e+03,2.571538110141682409e+01,7.695976680773456735e+01
3.593813663804625685e+04,3.817000000000000000e+03,3.847779985259972364e+03,3.077998525997236356e+01,7.912158051979935180e+01
3.764935806792470976e+04,3.988000000000000000e+03,4.010552300603604181e+03,2.255230060360418065e+01,8.134252028859080497e+01
3.944206059437656222e+04,4.151000000000000000e+03,4.180323950722508016e+03,2.932395072250801604e+01,8.362417169148946527e+01
4.132012400115334458e+04,4.324000000000000000e+03,4.357399348734549676e+03,3.339934873454967601e+01,8.596816218775902030e+01
4.328761281083061476e+04,4.517000000000000000e+03,4.542096262122725420e+03,2.509626212272542034e+01,8.837616221164464037e+01
4.534878508128582325e+04,4.706000000000000000e+03,4.734746402662814944e+03,2.874640266281494405e+01,9.084988629372419666e+01
4.750810162102793402e+04,4.897000000000000000e+03,4.935696042561281502e+03,3.869604256128150155e+01,9.339109421123806953e+01
4.977023564332113892e+04,5.110000000000000000e+03,5.145306657973445908e+03,3.530665797344590828e+01,9.600159216813825935e+01
5.214008287999684399e+04,5.330000000000000000e+03,5.363955601124564964e+03,3.395560112456496427e+01,9.868323400561939707e+01
5.462277217684336938e+04,5.558000000000000000e+03,5.592036802311481551e+03,3.403680231148155144e+01,1.014379224439141467e+02
5.722367659350220492e+04,5.804000000000000000e+03,5.829961503119332519e+03,2.596150311933251942e+01,1.042676103561517778e+02
5.994842503189409035e+04,6.052000000000000000e+03,6.078159022248027213e+03,2.615902224802721321e+01,1.071743020751020765e+02
6.280291441834259604e+04,6.302000000000000000e+03,6.337077555405851854e+03,3.507755540585185372e+01,1.101600547336490905e+02
6.579332246575682075e+04,6.572000000000000000e+03,6.607185010792384674e+03,3.518501079238467355e+01,1.132269796398538517e+02
6.892612104349695437e+04,6.850000000000000000e+03,6.888969881762031946e+03,3.896988176203194598e+01,1.163772436874972556e+02
7.220809018385471427e+04,7.145000000000000000e+03,7.182942158330100938e+03,3.794215833010093775e+01,1.196130708030067069e+02
7.564633275546290679e+04,7.452000000000000000e+03,7.489634279258480092e+03,3.763427925848009181e+01,1.229367434297002006e+02
7.924828983539185720e+04,7.766000000000000000e+03,7.809602126535963180e+03,4.360212653596317978e+01,1.263506040503036729e+02
8.302175681319752766e+04,8.108000000000000000e+03,8.143426064149100966e+03,3.542606414910096646e+01,1.298570567487176959e+02
8.697490026177834079e+04,8.448000000000000000e+03,8.491712023125724954e+03,4.371202312572495430e+01,1.334585688120419320e+02
9.111627561154904834e+04,8.809000000000000000e+03,8.855092634921216813e+03,4.609263492121681338e+01,1.371576723738836847e+02
9.545484566618347890e+04,9.201000000000000000e+03,9.234228415311019489e+03,3.322841531101948931e+01,1.409569661000072074e+02
1.000000000000000000e+05,9.592000000000000000e+03,9.629809001050798543e+03,3.780900105079854256e+01,1.448591169174091817e+02
